iter	Logloss
0	0.5892468288
1	0.5189250787
2	0.483970495
3	0.4587482119
4	0.4410815141
5	0.4306432625
6	0.4219272208
7	0.4161369047
8	0.4125856488
9	0.4099765862
10	0.4058092661
11	0.4034840386
12	0.4017545238
13	0.400831324
14	0.3986581185
15	0.3975657651
16	0.396153213
17	0.3949777318
18	0.3940263745
19	0.3934011189
20	0.392939764
21	0.3923283184
22	0.3918369355
23	0.3910719919
24	0.3904960517
25	0.3897589073
26	0.3894028837
27	0.3885187294
28	0.3882375738
29	0.387795337
30	0.3874391157
31	0.3869104778
32	0.386306722
33	0.3862095032
34	0.3857477154
35	0.3854915063
36	0.385137921
37	0.3848664115
38	0.384623925
39	0.3842038777
40	0.3839609015
41	0.3836072862
42	0.3833590367
43	0.3832628977
44	0.3831779745
45	0.3830699667
46	0.382752818
47	0.3826690279
48	0.3825709697
49	0.3821880628
50	0.3821285779
51	0.3817290702
52	0.3815173748
53	0.381319206
54	0.380767246
55	0.3807207689
56	0.3804204643
57	0.3803557352
58	0.3802107797
59	0.3800986358
60	0.3800442623
61	0.3797951054
62	0.3793833149
63	0.3789560351
64	0.378608876
65	0.3784134142
66	0.3781710538
67	0.378080094
68	0.3780218378
69	0.3779515227
70	0.3777405036
71	0.3775745582
72	0.3774520179
73	0.3772122467
74	0.3771937921
75	0.3770778872
76	0.3768678599
77	0.3768144251
78	0.3767669272
79	0.3761912108
80	0.3759839605
81	0.3758375547
82	0.3756455188
83	0.3753834664
84	0.3753319035
85	0.3751794365
86	0.3748378388
87	0.3746776593
88	0.3745170132
89	0.3741421132
90	0.3739952035
91	0.3734906151
92	0.3732636684
93	0.3731937257
94	0.3728508804
95	0.372662907
96	0.3722963596
97	0.3720138818
98	0.3719504063
99	0.3717654206
100	0.3716795867
101	0.3714595747
102	0.3713627791
103	0.3713460703
104	0.3713250901
105	0.3710890349
106	0.3709845822
107	0.3708410976
108	0.3706086302
109	0.3704517521
110	0.3703861351
111	0.3703173391
112	0.3700916188
113	0.369962653
114	0.3698748464
115	0.3697534343
116	0.3696729195
117	0.3695152347
118	0.369448287
119	0.3692636392
120	0.3692191757
121	0.3691846375
122	0.3691709805
123	0.3688846738
124	0.3687592549
125	0.3681397421
126	0.3680824285
127	0.3679511241
128	0.3676040973
129	0.3673748016
130	0.3672256238
131	0.3669417171
132	0.3668422983
133	0.3665356235
134	0.3665177122
135	0.366384301
136	0.3660920425
137	0.366007926
138	0.3657720512
139	0.3657211371
140	0.3655372715
141	0.3653583305
142	0.3651790468
143	0.3648921326
144	0.3648336126
145	0.3646564624
146	0.3643236315
147	0.3641094315
148	0.3637583694
149	0.3637450838
150	0.3635817556
151	0.3635470452
152	0.3631685935
153	0.3630246972
154	0.3629013159
155	0.3627015252
156	0.3624361503
157	0.3622603738
158	0.3619866846
159	0.3619219883
160	0.3617974385
161	0.3615886902
162	0.3614141472
163	0.3611872965
164	0.3610498316
165	0.36092646
166	0.3608449073
167	0.3608359348
168	0.3607212644
169	0.3606755477
170	0.3605424115
171	0.3604848021
172	0.3603293485
173	0.3602766168
174	0.3601757072
175	0.3601257911
176	0.3599997415
177	0.3598575037
178	0.3595870542
179	0.3595405029
180	0.3594930053
181	0.3594469849
182	0.3593522623
183	0.3592385224
184	0.3590770209
185	0.3590606945
186	0.3588781795
187	0.3588527699
188	0.3587708271
189	0.3585091639
190	0.3584117817
191	0.3582197588
192	0.3582112812
193	0.3581796071
194	0.3581281687
195	0.3581106582
196	0.3578547356
197	0.3577913731
198	0.3575646913
199	0.3573937255
200	0.357367661
201	0.3572433512
202	0.3571675981
203	0.3570727786
204	0.3570456028
205	0.3569880328
206	0.3568487
207	0.3566735103
208	0.3565596459
209	0.3563792299
210	0.3562510324
211	0.3562119207
212	0.3561118784
213	0.3560040194
214	0.3557008155
215	0.3556911157
216	0.3556626892
217	0.3554468011
218	0.3551716665
219	0.3550560903
220	0.3547978544
221	0.3546647924
222	0.3544279715
223	0.3543627849
224	0.3542712974
225	0.3542234232
226	0.3540837432
227	0.353918591
228	0.3539012202
229	0.3538177068
230	0.3537766886
231	0.353739564
232	0.353555501
233	0.3535491665
234	0.3533671219
235	0.3533004883
236	0.3532185772
237	0.3531949511
238	0.3531235559
239	0.3528575654
240	0.3528440483
241	0.3525391267
242	0.3524860673
243	0.3524094214
244	0.3523835533
245	0.3521958668
246	0.3521646983
247	0.3520655948
248	0.3520331653
249	0.3520150026
250	0.3518198956
251	0.3517679545
252	0.3515539438
253	0.3515408497
254	0.3515169767
255	0.3514846021
256	0.3514232775
257	0.3512915775
258	0.3512406346
259	0.3512242314
260	0.3511623994
261	0.3511434114
262	0.3509319487
263	0.3507635882
264	0.350751425
265	0.3505147787
266	0.3504881989
267	0.3503856704
268	0.3503023837
269	0.3502283017
270	0.3501883181
271	0.3501318467
272	0.3500907173
273	0.3499818021
274	0.3498662553
275	0.3498182914
276	0.3496684419
277	0.3496174049
278	0.3495665389
279	0.3493106476
280	0.3492168171
281	0.3489960451
282	0.3488753427
283	0.3488236449
284	0.3487379761
285	0.3486172179
286	0.3485769973
287	0.3484449299
288	0.3482690283
289	0.348236014
290	0.3480911621
291	0.3479722457
292	0.3478798628
293	0.3478570773
294	0.3476272417
295	0.3475510097
296	0.3473531173
297	0.3472372977
298	0.3470882153
299	0.3469249112
